"Player";"Position";"Team"
"Tecklenburg, Warwick";"LF";"LIO"
"Jenkins, Jason";"L";"BUL"
"Benjamin, Rayno";"OB";"CHE"
"Willemse, Stefan";"LF";"KIN"
"Small-Smith, William";"M";"CHE"
"Neville, Cadeyrn";"L";"RED"
"Louwrens, Ryan";"HB";"FOR"
"Nel, Jacques";"M";"LIO"
"Retallick, Culum";"L";"REB"
"Mtembu, Lubabalo";"LF";"SHA"
"Bertranou, Gonzalo";"HB";"JAG"
"Visser, Jurgen";"OB";"KIN"
"Houston, Leroy";"LF";"RED"
"Parker, Hayden";"FH";"HIG"
"Vermaak, Jano";"HB";"STO"
"Ntsila, Anidisa";"LF";"KIN"
"Shigeno, Kaito";"HB";"SUN"
"Erasmus, Lourens";"L";"LIO"
"Moyano, Ramiro";"OB";"JAG"
"Kebe, Ntando";"HB";"KIN"
"Meyer, Tian";"HB";"CHE"
"Philip, Matt";"L";"FOR"
"Grey, Siyanda";"OB";"KIN"
"Haylett-Petty, Ross";"LF";"FOR"
"Hardwick, Richard";"LF";"FOR"
"Hall, James";"HB";"KIN"
"Wegner, Carl";"L";"CHE"
"Douglas, Kane";"L";"RED"
"Deysel, Jean";"LF";"SHA"
"Stander, Brynard";"LF";"FOR"
"Lobberts, Hilton";"L";"CHE"
"Ebersohn, Sias";"FH";"CHE"
"Mtyanda, Lubabalo";"L";"SHA"
"Cummins, Steven";"L";"REB"
"McDuling, David";"L";"WAR"
"Elstadt, Rynhard";"LF";"STO"
"Cottrell, Angus";"LF";"FOR"
"Ainley, Alex";"LF";"HIG"
"Radebe, Charles";"OB";"KIN"
"Snowden, Mick";"HB";"REB"
"Botha, Ruan";"L";"SHA"
"du Plessis, Daniel";"M";"STO"
"Carter, Sam";"L";"BRU"
"Abbott, Mark";"L";"HUR"
"Kruger, Robert";"LF";"LIO"
"Schickerling, JD";"L";"STO"
"Staniforth, Thomas";"L";"BRU"
"Hanigan, Ned";"L";"WAR"
"Andrews, Hyron";"L";"SHA"
