"Player";"Position";"Team"
"Carrethers, Ryan";"DL";"SDG"
"Carrie, T.J.";"DB";"OAK"
"Carrier, Derek";"TE";"SFO"
"Carrington, Alex";"DL";"STL"
"Carroll, Nolan";"DB";"PHI"
"Carson, Glenn";"DB";"ARI"
"Carter, Bruce";"DB";"DAL"
"Carter, Chris";"DB";"PIT"
"Carter, Michael";"DB";"BUF"
"Carter, Quinton";"DB";"DEN"
"Carter, Tony";"DB";"DEN"
"Casey, Chance";"DB";"OAK"
"Casey, James";"TE";"PHI"
"Casey, Jurrell";"DL";"TEN"
"Casillas, Jonathan";"DB";"TAM"
"Cason, Antoine";"DB";"CAR"
"Cassel, Matt";"QB";"MIN"
"Castillo, Sergio";"K";"ATL"
"Castonzo, Anthony";"OL";"IND"
"Catanzaro, Chandler";"K";"ARI"
"Catapano, Mike";"DL";"K.C"
"Caussin, Mike";"TE";"BUF"
"Cave, Braxston";"OL";"NWE"
"Celek, Brent";"TE";"PHI"
"Celek, Garrett";"TE";"SFO"
"Chancellor, Brelan";"WR";"SDG"
"Chancellor, Kam";"DB";"SEA"
"Chandler, Nate";"OL";"CAR"
"Chandler, Scott";"TE";"BUF"
"Chaney, Jamar";"DB";"DEN"
"Chapas, Shaun";"RB";"BAL"
"Chapman, Josh";"DL";"IND"
"Charles, Jamaal";"RB";"K.C"
"Charles, Orson";"TE";"CIN"
"Charles, Stefan";"DL";"BUF"
"Chekwa, Chimdi";"DB";"OAK"
"Cherilus, Gosder";"OL";"IND"
"Cherrington, Dewayne";"DL";"SEA"
"Chester, Chris";"OL";"WAS"
"Chung, Patrick";"DB";"NWE"
"Church, Barry";"DB";"DAL"
"Clady, Ryan";"OL";"DEN"
"Claiborne, Morris";"DB";"DAL"
"Clark, Arceto";"WR";"SEA"
"Clark, Chris";"OL";"DEN"
"Clark, Ryan";"DB";"WAS"
"Clarke, Brian";"OL";"DAL"
"Clarke, Steven";"DB";"MIA"
"Clarke, Will";"DL";"CIN"
"Clary, Jeromey";"OL";"SDG"
"Clausen, Jimmy";"QB";"CHI"
"Clay, Brennan";"RB";"DEN"
"Clay, Charles";"DB";"GNB"
"Clay, Charles";"TE";"MIA"
"Clayborn, Adrian";"DL";"TAM"
"Clayton, Keenan";"DB";"ARI"
"Cleary, Emmett";"OL";"OAK"
"Clemens, Kellen";"QB";"SDG"
"Clemons, Chris";"DB";"HOU"
"Clemons, Chris";"DL";"JAC"
"Clemons, Toney";"WR";"CAR"
"Cleveland, Asante";"TE";"SFO"
"Clinton-Dix, Ha Ha";"DB";"GNB"
"Clowney, Jadeveon";"DB";"HOU"
"Clutts, Tyler";"RB";"DAL"
"Coale, Danny";"WR";"PIT"
"Cobb, Randall";"WR";"GNB"
"Cobb, Terrance";"RB";"JAC"
"Cockrell, Ross";"DB";"BUF"
"Cody, Terrence";"DL";"BAL"
"Cofield, Barry";"DL";"WAS"
"Cole, Audie";"DB";"MIN"
"Cole, Colin";"DL";"CAR"
"Cole, Justin";"DB";"OAK"
"Cole, Marquice";"DB";"DEN"
"Cole, Trent";"DB";"PHI"
"Coleman, Brandon";"WR";"NOR"
"Coleman, Davon";"DL";"DAL"
"Coleman, Deandre";"DL";"JAC"
"Coleman, Derrick";"RB";"SEA"
"Coleman, Kurt";"DB";"MIN"
"Colledge, Daryn";"OL";"MIA"
"Collins, Anthony";"OL";"TAM"
"Collins, Jamie";"DB";"NWE"
"Collins, Jasper";"WR";"CIN"
"Collins, Jed";"RB";"DET"
"Collins, Nate";"DL";"CHI"
"Colon, Willie";"OL";"NYJ"
"Colston, Marques";"WR";"NOR"
"Colter, Kain";"WR";"MIN"
"Colvin, Aaron";"DB";"JAC"
"Commings, Sanders";"DB";"K.C"
"Compton, Tom";"OL";"WAS"
"Compton, Will";"DB";"WAS"
"Cone, Kevin";"WR";"MIA"
"Conner, John";"RB";"NYG"
"Conner, Kavell";"DB";"SDG"
"Connolly, Dan";"OL";"NWE"
"Conrath, Matt";"DL";"STL"
"Conte, Chris";"DB";"CHI"
"Conway, Gannon";"DL";"IND"
"Cook, Chris";"DB";"SFO"
"Cook, Darwin";"DB";"CLE"
"Cook, Jared";"TE";"STL"
"Cooks, Brandin";"WR";"NOR"
"Coons, Travis";"K";"TEN"
"Cooper, Jonathan";"OL";"ARI"
"Cooper, Josh";"WR";"MIN"
"Cooper, Marcus";"DB";"K.C"
"Cooper, Riley";"WR";"PHI"
"Copeland, Brandon";"DB";"TEN"
"Copeland, Damian";"WR";"JAC"
"Copeland, J.C.";"RB";"DAL"
"Coples, Quinton";"DB";"NYJ"
"Cornell, Jack";"OL";"OAK"
"Cornick, Paul";"OL";"DEN"
"Costanzo, Blake";"DB";"SFO"
"Cotchery, Jerricho";"WR";"CAR"
"Coughman, Edawn";"OL";"BUF"
"Couplin, Jerome";"DB";"DET"
"Cousins, Kirk";"QB";"WAS"
"Cousins, Oniel";"OL";"TAM"
"Cox, Derek";"DB";"MIN"
"Cox, Fletcher";"DL";"PHI"
"Cox, Michael";"RB";"NYG"
"Cox, Perrish";"DB";"SFO"
"Cox, Qua";"DB";"IND"
"Cox, Rakim";"DL";"MIN"
"Coyle, Brock";"DB";"SEA"
"Crabtree, Michael";"WR";"SFO"
"Crawford, Jack";"DL";"OAK"
"Crawford, Richard";"DB";"WAS"
"Crawford, Tyrone";"DL";"DAL"
"Crichton, Scott";"DL";"MIN"
"Crick, Jared";"DL";"HOU"
"Criner, Juron";"WR";"OAK"
"Cromartie, Antonio";"DB";"ARI"
"Cromartie, Marcus";"DB";"SDG"
"Crosby, Mason";"K";"GNB"
"Crowell, Isaiah";"RB";"CLE"
"Cruz, Victor";"WR";"NYG"
"Cudjo, Jermelle";"DL";"K.C"
"Culliver, Chris";"DB";"SFO"
"Cumberland, Jeff";"TE";"NYJ"
"Cummings, Euclid";"DL";"TAM"
"Cundiff, Billy";"K";"CLE"
"Cunningham, Avery";"DB";"STL"
"Cunningham, B.J.";"WR";"PHI"
"Cunningham, Benny";"RB";"STL"
"Cunningham, Jermaine";"DB";"NYJ"
"Cunningham, Justice";"TE";"STL"
"Cureton, Andre";"OL";"DAL"
"Curry, Vinny";"DL";"PHI"
"Cushing, Brian";"DB";"HOU"
"Cutler, Jay";"QB";"CHI"
"Cyprien, Johnathan";"DB";"JAC"
"Dahl, Craig";"DB";"SFO"
"Daley, Brenden";"DB";"ATL"
"Dalton, A.J.";"OL";"DET"
"Dalton, Andy";"QB";"CIN"
"Dangerfield, Jordan";"DB";"PIT"
"Daniel, Chase";"QB";"K.C"
"Daniels, B.J.";"QB";"SEA"
"Daniels, Jace";"OL";"TAM"
"Daniels, Matt";"DB";"STL"
"Daniels, Mike";"DL";"GNB"
"Daniels, Owen";"TE";"BAL"
"Dansby, Karlos";"DB";"CLE"
"Darby, Alden";"DB";"SDG"
"Dareus, Marcell";"DL";"BUF"
"Darkwa, Orleans";"RB";"MIA"
"David, Lavonte";"DB";"TAM"
"Davidson, James";"DB";"CIN"
"Davis, A.J.";"DB";"NOR"
"Davis, Akeem";"DB";"WAS"
"Davis, Anthony";"OL";"SFO"
"Davis, Austin";"QB";"STL"
"Davis, Chris";"DB";"SDG"
"Davis, Cody";"DB";"STL"
"Davis, DeMario";"DB";"NYJ"
"Davis, Drew";"WR";"ATL"
"Davis, Hall";"DL";"DEN"
"Davis, Ja'Gared";"DB";"NWE"
"Davis, Jace";"WR";"BAL"
"Davis, Kanorris";"DB";"NWE"
"Davis, Kellen";"TE";"NYG"
"Davis, Knile";"RB";"K.C"
"Davis, Mike";"WR";"OAK"
"Davis, Ryan";"DL";"JAC"
"Davis, Thomas";"DB";"CAR"
"Davis, Todd";"DB";"NOR"
"Davis, Troy";"DB";"NYJ"
"Davis, Vernon";"TE";"SFO"
"Davis, Vontae";"DB";"IND"
"Davis, Will";"DB";"MIA"
"Dawkins, Everett";"DL";"NYG"
"Dawson, Keyunta";"DL";"NOR"
"Dawson, Phil";"K";"SFO"
"Dawson, Skye";"WR";"TAM"
"De La Puente, Brian";"OL";"CHI"
"Deaderick, Brandon";"DL";"NOR"
"Dean, Larry";"DB";"MIN"
"DeCastro, David";"OL";"PIT"
"DeCicco, Dom";"DB";"MIN"
"Decker, Eric";"WR";"NYJ"
"DeCoud, Thomas";"DB";"CAR"
"Delmas, Louis";"DB";"MIA"
"Demens, Kenny";"DB";"ARI"
"Demps, Jeff";"RB";"TAM"
"Demps, Quintin";"DB";"NYG"
"Denham, Anthony";"TE";"HOU"
"Dennard, Alfonzo";"DB";"NWE"
"Dennard, Antonio";"DB";"GNB"
"Dennard, Darqueze";"DB";"CIN"
"Dennis, Derek";"OL";"CAR"
"Dent, Akeem";"DB";"HOU"
"Desir, Pierre";"DB";"CLE"
"Develin, James";"RB";"NWE"
"Devey, Jordan";"OL";"NWE"
"DeVito, Mike";"DL";"K.C"
"Devlin, Pat";"QB";"MIA"
"Dial, Quinton";"DL";"SFO"
"Dickerson, Dorin";"TE";"TEN"
"Dickson, Ed";"TE";"CAR"
"Dickson, JoJo";"DB";"ARI"
"Dieke, Emmanuel";"DL";"NYG"
"Dietrich-Smith, Evan";"OL";"TAM"
"Diles, Zac";"DB";"CLE"
"Dima, Anthony";"OL";"HOU"
"DiManche, Jayson";"DB";"CIN"
"DiMarco, Nick";"DB";"BAL"
"DiMarco, Patrick";"RB";"ATL"
"Dimke, Derek";"K";"NOR"
"Divitto, Steele";"DB";"NYJ"
"Dixon, Ahmad";"DB";"DAL"
"Dixon, Anthony";"RB";"BUF"
"Dixon, Brandon";"DB";"NYJ"
"Dixon, Brian";"DB";"NOR"
"Dixon, Chase";"TE";"SEA"
"Dixon, Dennis";"QB";"BUF"
"Dixon, Marcus";"DL";"TEN"
"Dobbins, Tim";"DB";"ATL"
"Dobbs, Demarcus";"TE";"SFO"
"Dobson, Aaron";"WR";"NWE"
"Dockery, James";"DB";"CAR"
"Dockett, Darnell";"DL";"ARI"
"Donald, Aaron";"DL";"STL"
"Donnell, Larry";"TE";"NYG"
"Dorsey, Glenn";"DL";"SFO"
"Dorsey, Kevin";"WR";"GNB"
"Doss, Lee";"WR";"WAS"
"Doss, Tandon";"WR";"JAC"
"Dotson, Demar";"OL";"TAM"
"Doughty, Jake";"DB";"GNB"
"Douglas, Harry";"WR";"ATL"
"Douzable, Leger";"DL";"NYJ"
"Dowling, Jonathan";"DB";"OAK"
"Dowling, Ras-I";"DB";"NYJ"
"Doyle, Jack";"TE";"IND"
"Dozier, Dakota";"OL";"NYJ"
"Draheim, Tommie";"OL";"ARI"
"Draughn, Shaun";"RB";"CHI"
"Dray, Jim";"TE";"CLE"
"Dreessen, Joel";"TE";"DEN"
"Dressler, Weston";"WR";"K.C"
"Ducasse, Vladimir";"OL";"MIN"
"Ducre, Greg";"DB";"SDG"
"Dumervil, Elvis";"DB";"BAL"
"Dunbar, James";"OL";"CHI"
"Dunbar, Jo-Lonn";"DB";"STL"
"Dunbar, Lance";"RB";"DAL"
"Dunlap, Carlos";"DL";"CIN"
"Dunlap, King";"OL";"SDG"
"Dunn, Brandon";"DL";"CHI"
