"Gronkowski, Rob";"TE";"NWE"
"Guyton, Gary";"LB";"MIA"
"Haden, Joe";"DB";"CLE"
"Hadnot, Rex";"OL";"SDG"
"Hagan, Derek";"WR";"BUF"
"Hagg, Eric";"DB";"CLE"
"Hairston, Chris";"OL";"BUF"
"Hale, David";"OL";"BAL"
"Hali, Tamba";"DL";"K.C"
"Hall, Bryan";"DL";"BAL"
"Hall, D.J.";"OL";"JAC"
"Hall, Leon";"DB";"CIN"
"Hamilton, Dominique";"DL";"OAK"
"Hampton, Casey";"DL";"PIT"
"Hanie, Caleb";"QB";"DEN"
"Hansen, Jeff";"OL";"TEN"
"Hansen, Tyler";"QB";"CIN"
"Hardesty, Montario";"RB";"CLE"
"Hardison, Matt";"DL";"NYJ"
"Hardwick, Nick";"OL";"SDG"
"Hardy, Andre";"TE";"OAK"
"Hardy, James";"WR";"BAL"
"Harewood, Ramon";"OL";"BAL"
"Harnish, Chandler";"QB";"IND"
"Harper, Jamie";"RB";"TEN"
"Harrell, Logan";"DL";"SDG"
"Harris, Brandon";"DB";"HOU"
"Harris, Chris";"DB";"DEN"
"Harris, DaJohn";"DL";"TEN"
"Harris, Darryl";"OL";"K.C"
"Harris, David";"LB";"NYJ"
"Harris, DuJuan";"RB";"JAC"
"Harris, Leroy";"OL";"TEN"
"Harris, Marcus";"WR";"TEN"
"Harris, Michael";"OL";"SDG"
"Harris, Ra'Shon";"DL";"HOU"
"Harris, Ryan";"OL";"DEN"
"Harrison, Arnold";"LB";"PIT"
"Harrison, Damon";"DL";"NYJ"
"Harrison, James";"LB";"PIT"
"Harrison, Marcus";"DL";"NWE"
"Hartline, Brian";"WR";"MIA"
"Hartline, Mike";"QB";"NWE"
"Hartman, Tysyn";"DB";"K.C"
"Harvey, Derrick";"DL";"CIN"
"Harvey, Mario";"LB";"IND"
"Haslam, Kevin";"OL";"OAK"
"Hasselbeck, Matt";"QB";"TEN"
"Hawkins, Andrew";"WR";"CIN"
"Hawkins, Chris";"DB";"TEN"
"Hawkins, Lavelle";"WR";"TEN"
"Hayden, Nick";"DL";"CIN"
"Hayes, Michael";"RB";"SDG"
"Haynos, Joey";"TE";"TEN"
"Hazelton, Vidal";"WR";"CIN"
"Heard, Kellen";"DL";"BUF"
"Heath, T.J.";"DB";"JAC"
"Helms, Brett";"OL";"HOU"
"Hemingway, Junior";"WR";"K.C"
"Henderson, Mario";"OL";"SDG"
"Henigan, Elliott";"DL";"BAL"
"Henne, Chad";"QB";"JAC"
"Henry, Aaron";"DB";"OAK"
"Herman, Brad";"TE";"NWE"
"Hernandez, Aaron";"TE";"NWE"
"Herron, Dan";"RB";"CIN"
"Hester, Jacob";"RB";"SDG"
"Heyer, Stephon";"OL";"NYJ"
"Heyman, Dexter";"LB";"K.C"
"Heyward, Cameron";"DL";"PIT"
"Heyward-Bey, Darrius";"WR";"OAK"
"Hicks, Artis";"OL";"MIA"
"Hicks, Brandon";"LB";"PIT"
"Hicks, Hayworth";"OL";"IND"
"Hightower, Dont'a";"LB";"NWE"
"Hill, Cris";"DB";"BUF"
"Hill, Darius";"TE";"JAC"
"Hill, Jason";"WR";"DEN"
"Hill, Stephen";"WR";"NYJ"
"Hillis, Peyton";"RB";"K.C"
"Hillman, Ronnie";"RB";"DEN"
"Hills, Tony";"OL";"DEN"
"Hilton, Justin";"WR";"CIN"
"Hilton, T.Y.";"WR";"IND"
"Hines, Jermale";"DB";"IND"
"Hix, Kyle";"OL";"NWE"
