"Player";"Position";"Team"
"Harris, DuJuan";"RB";"MIN"
"Harris, Dwayne";"WR";"NYG"
"Harris, John";"WR";"PHI"
"Harris, Josh";"RB";"PIT"
"Harris, Marcus";"WR";"NYG"
"Harris, R.J.";"WR";"NOR"
"Hartline, Brian";"WR";"CLE"
"Harvin, Percy";"WR";"BUF"
"Harwell, Nick";"WR";"DAL"
"Hasselbeck, Matt";"QB";"IND"
"Hauschka, Steven";"K";"SEA"
"Hawkins, Andrew";"WR";"CLE"
"Hayne, Jarryd";"RB";"SFO"
"Hazel, Matt";"WR";"MIA"
"Heaps, Jake";"QB";"NYJ"
"Heinicke, Taylor";"QB";"MIN"
"Helfet, Cooper";"TE";"SEA"
"Helu, Roy";"RB";"OAK"
"Hemingway, Junior";"WR";"K.C"
"Henne, Chad";"QB";"JAC"
"Henry, Mitchell";"TE";"GNB"
"Herndon, Javontee";"WR";"SDG"
"Herron, Dan";"RB";"IND"
"Herron, Robert";"WR";"TAM"
"Hester, Devin";"WR";"ATL"
"Heuerman, Jeff";"TE";"DEN"
"Hewitt, Ryan";"TE";"CIN"
"Heyward-Bey, Darrius";"WR";"PIT"
"Hill, Austin";"WR";"NYJ"
"Hill, Jeremy";"RB";"CIN"
"Hill, Josh";"TE";"NOR"
"Hill, Keshawn";"RB";"K.C"
"Hill, Shaun";"QB";"MIN"
"Hill, Stephen";"WR";"CAR"
"Hilliard, Kenny";"RB";"HOU"
"Hillman, Ronnie";"RB";"DEN"
"Hilton, T.Y.";"WR";"IND"
"Hocker, Zach";"K";"NOR"
"Hogan, Chris";"WR";"BUF"
"Holley, Caleb";"WR";"BUF"
"Holliday, Trindon";"WR";"OAK"
"Holmes, Andre";"WR";"OAK"
"Holmes, Gabe";"TE";"OAK"
"Hoomanawanui, Michael";"TE";"NWE"
"Hopkins, DeAndre";"WR";"HOU"
"Hopkins, Dustin";"K";"NOR"
"Housler, Rob";"TE";"CLE"
"Hoyer, Brian";"QB";"HOU"
"Huff, Josh";"WR";"PHI"
"Hughes, Robert";"RB";"ARI"
"Hull, Mario";"WR";"SFO"
"Humphries, Adam";"WR";"TAM"
"Hundley, Brett";"QB";"GNB"
"Hunt, Akeem";"RB";"NYG"
"Hunt, Jimmie";"WR";"GNB"
"Hunter, Justin";"WR";"TEN"
"Hunter, Kendall";"RB";"SFO"
"Hurns, Allen";"WR";"JAC"
"Hyde, Carlos";"RB";"SFO"
"Hynoski, Henry";"RB";"NYG"
"Igwenagu, Emil";"RB";"DET"
"Ingram, Mark";"RB";"NOR"
"Inman, Dontrelle";"WR";"SDG"
"Iosefa, Joey";"RB";"TAM"
"Ivory, Chris";"RB";"NYJ"
"Jackson, DeSean";"WR";"WAS"
"Jackson, Fred";"RB";"BUF"
"Jackson, Tarvaris";"QB";"SEA"
"Jackson, Vincent";"WR";"TAM"
"Jacobs, Chuck";"WR";"SFO"
"Jacobs, Nic";"TE";"JAC"
"James, Jesse";"TE";"PIT"
"James, LaMichael";"RB";"MIA"
"James, Mike";"RB";"TAM"
"Janikowski, Sebastian";"K";"OAK"
"Janis, Jeff";"WR";"GNB"
"Jeffery, Alshon";"WR";"CHI"
"Jenkins, A.J.";"WR";"DAL"
"Jenkins, Greg";"WR";"JAC"
"Jennings, Darius";"WR";"CLE"
"Jennings, Greg";"WR";"MIA"
"Jennings, Rashad";"RB";"NYG"
"Jensen, Marcel";"TE";"DEN"
"Johnson, Andre";"WR";"IND"
"Johnson, Austin";"RB";"NOR"
"Johnson, Calvin";"WR";"DET"
"Johnson, Charles";"WR";"MIN"
"Johnson, Damaris";"WR";"HOU"
"Johnson, David";"RB";"ARI"
"Johnson, David";"TE";"SDG"
"Johnson, Duke";"RB";"CLE"
