"Player";"DL";"Team"
"Rogers, Taveon";"WR";"CIN"
"Rolle, Myron";"DB";"PIT"
"Roosevelt, Naaman";"WR";"BUF"
"Rosario, Dante";"TE";"SDG"
"Ross, Aaron";"DB";"JAC"
"Ross, Jeremy";"WR";"IND"
"Routt, Stanford";"DB";"K.C"
"Royal, Eddie";"WR";"SDG"
"Rucker, Chris";"DB";"IND"
"Rucker, Martin";"TE";"K.C"
"Russell, Anderson";"DB";"MIA"
"Rutland, Kevin";"DB";"JAC"
"Saenz, Nick";"DB";"BUF"
"Saffold, Jermaine";"WR";"CLE"
"Sambrano, Jabin";"WR";"IND"
"Sanchez, Mark";"QB";"NYJ"
"Sanders, Emmanuel";"WR";"PIT"
"Sands, Robert";"DB";"CIN"
"Sanu, Mohamed";"WR";"CIN"
"Saunders, Weslye";"TE";"PIT"
"Schaub, Matt";"QB";"HOU"
"Schilens, Chaz";"WR";"NYJ"
"Schmitt, Owen";"RB";"OAK"
"Scobee, Josh";"K";"JAC"
"Scott, Bernard";"RB";"CIN"
"Scott, Bryan";"DB";"BUF"
"Scott, Christian";"DB";"TEN"
"Scott, Kevyn";"DB";"MIA"
"Searcy, Da'Norris";"DB";"BUF"
"Session, Derek";"WR";"BUF"
"Session, Tray";"WR";"OAK"
"Sherrod, Dezmond";"TE";"PIT"
"Shiancoe, Visanthe";"TE";"NWE"
"Shipley, Jordan";"WR";"CIN"
"Shorts, Cecil";"WR";"JAC"
"Silvestro, Alex";"TE";"NWE"
"Simmons, Traye";"DB";"SDG"
"Simms, Matt";"QB";"NYJ"
"Sims, David";"DB";"CLE"
"Skrine, Buster";"DB";"CLE"
"Slater, Matthew";"WR";"NWE"
"Slaton, Steve";"RB";"MIA"
"Smelley, Brad";"RB";"CLE"
"Smith, Alex";"TE";"CLE"
"Smith, Andre";"TE";"IND"
"Smith, Brad";"WR";"BUF"
"Smith, Clifton";"RB";"MIA"
"Smith, DeAngelo";"DB";"NYJ"
"Smith, Eric";"DB";"NYJ"
"Smith, Hayden";"TE";"NYJ"
"Smith, Jimmy";"DB";"BAL"
"Smith, Lee";"TE";"BUF"
"Smith, Rusty";"QB";"TEN"
"Smith, Sean";"DB";"MIA"
"Smith, Torrey";"WR";"BAL"
"Spann, Chad";"RB";"PIT"
"Spencer, Owen";"WR";"CLE"
"Spencer, Shawntae";"DB";"OAK"
"Sperry, Kory";"TE";"SDG"
"Spiller, C.J.";"RB";"BUF"
"Spurlock, Micheal";"WR";"SDG"
"Stallworth, Donte'";"WR";"NWE"
"Stanton, Drew";"QB";"IND"
"Stanzi, Ricky";"QB";"K.C"
"Steed, Ryan";"DB";"NYJ"
"Stephens, Nick";"QB";"TEN"
"Stevens, Craig";"TE";"TEN"
"Stewart, Chester";"QB";"BAL"
"Stewart, Juamorris";"WR";"PIT"
"Stewart, Rodney";"RB";"CIN"
"Stokley, Brandon";"WR";"DEN"
"Streater, Rod";"WR";"OAK"
"Streeter, Tommy";"WR";"BAL"
"Stuckey, Darrell";"DB";"SDG"
"Succop, Ryan";"K";"K.C"
"Suisham, Shaun";"K";"PIT"
"Sukay, Nick";"DB";"BUF"
"Summers, Frank";"RB";"SDG"
"Supernaw, Phillip";"TE";"HOU"
"Swank, Sam";"K";"JAC"
"Swift, Nate";"WR";"JAC"
"Sylvester, Austin";"RB";"DEN"
"Szymanski, Matt";"K";"K.C"
"Ta'ufo'ou, Will";"RB";"JAC"
"Tahi, Naufahu";"RB";"JAC"
"Tamme, Jacob";"TE";"DEN"
"Tannehill, Ryan";"QB";"MIA"
"Tanney, Alex";"QB";"K.C"
"Tate, Ben";"RB";"HOU"
"Tate, Brandon";"WR";"CIN"
"Taylor, Brad";"TE";"SDG"
"Taylor, Brandon";"DB";"SDG"
"Taylor, Curtis";"DB";"OAK"
"Taylor, Ike";"DB";"PIT"
"Taylor, Tyrod";"QB";"BAL"
"Tebow, Tim";"QB";"NYJ"
"Thigpen, Tyler";"QB";"BUF"
"Thomas, Adonis";"RB";"CLE"
"Thomas, Daniel";"RB";"MIA"
"Thomas, Demaryius";"WR";"DEN"
"Thomas, Julius";"TE";"DEN"
"Thomas, Latarrius";"DB";"IND"
"Thomas, Mike";"WR";"JAC"
"Thompson, Christian";"DB";"BAL"
"Thompson, Deonte";"WR";"BAL"
"Thompson, Syd'Quan";"DB";"DEN"
"Thompson, Taylor";"TE";"TEN"
"Thorpe, Neiko";"DB";"K.C"
"Tonga, Manase";"RB";"OAK"
"Torrence, Devon";"DB";"NYJ"
"Torrence, Leigh";"DB";"JAC"
"Toston, Keith";"RB";"JAC"
"Trufant, Isaiah";"DB";"NYJ"
"Tucker, Justin";"K";"BAL"
"Turner, Patrick";"WR";"NYJ"
"Underwood, Brandon";"DB";"OAK"
"Urban, Tyler";"TE";"NWE"
"Vakapuna, Fui";"RB";"NYJ"
"Van Dyke, DeMarcus";"DB";"OAK"
"Vaughn, Cassius";"DB";"IND"
"Veldman, Matt";"TE";"JAC"
"Ventrone, Raymond";"DB";"CLE"
"Ventrone, Ross";"DB";"NWE"
"Vereen, Shane";"RB";"NWE"
"Verner, Alterraun";"DB";"TEN"
"Victorian, Josh";"DB";"PIT"
"Vinatieri, Adam";"K";"IND"
