"Player";"Position";"Team"
"Hix, Kyle";"OL";"NWE"
"Hochstein, Russ";"OL";"DEN"
"Hogan, Chris";"WR";"MIA"
"Hoke, Chris";"DL";"PIT"
"Holliday, Trindon";"WR";"HOU"
"Holmes, Mike";"DB";"IND"
"Holmes, Santonio";"WR";"NYJ"
"Hood, Ziggy";"DL";"PIT"
"Hope, Chris";"DB";"TEN"
"Horne, Jeremy";"WR";"K.C"
"Houshmandzadeh, T.J.";"WR";"OAK"
"Houston, Justin";"LB";"K.C"
"Houston, Lamarr";"DL";"OAK"
"Howard, Austin";"OL";"NYJ"
"Howard, Thomas";"LB";"CIN"
"Hoyer, Brian";"QB";"NWE"
"Hudson, Otis";"OL";"CIN"
"Hudson, Rodney";"OL";"K.C"
"Huff, Michael";"DB";"OAK"
"Hughes, Dante";"DB";"SDG"
"Hughes, Jerry";"DL";"IND"
"Hunter, Jason";"DL";"DEN"
"Hunter, Wayne";"OL";"NYJ"
"Hurd, Zach";"OL";"OAK"
"Iglesias, Juaquin";"WR";"HOU"
"Ihedigbo, James";"DB";"NWE"
"Ihenacho, Carl";"DL";"OAK"
"Ijalana, Ben";"OL";"IND"
"Incognito, Richie";"OL";"MIA"
"Ingram, Cornelius";"TE";"DEN"
"Irvin, Corvey";"DL";"JAC"
"Irving, Nate";"LB";"DEN"
"Issac, Rod";"DB";"JAC"
"Ivey, Travis";"DL";"OAK"
"Ivy, Mortty";"LB";"PIT"
"Iwuh, Brian";"LB";"DEN"
"Jackson, Brandon";"RB";"CLE"
"Jackson, D'Qwell";"LB";"CLE"
"Jackson, Dexter";"WR";"NYJ"
"Jackson, Fred";"RB";"BUF"
"Jackson, Kareem";"DB";"HOU"
"Jackson, Tyson";"DL";"K.C"
"Jackson, Vincent";"WR";"SDG"
"Jacobs, Ben";"LB";"CLE"
"Jamison, Tim";"DL";"HOU"
"Jammer, Quentin";"DB";"SDG"
"Janikowski, Sebastian";"K";"OAK"
"Jasper, Michael";"DL";"BUF"
