"Player";"Position";"Team"
"Crompton, Jonathan";"QB";"WAS"
"Crosby, Mason";"K";"GNB"
"Cruz, Victor";"WR";"NYG"
"Curry, Dominique";"WR";"STL"
"Cutler, Jay";"QB";"CHI"
"D'Imperio, Ryan";"RB";"MIN"
"Daniel, Chase";"QB";"NOR"
"Davis, D.J.";"WR";"ATL"
"Davis, Fred";"TE";"WAS"
"Davis, Kellen";"TE";"CHI"
"Davis, Rashied";"WR";"DET"
"Davis, Vernon";"TE";"SFO"
"DePalma, Dan";"WR";"NYG"
"Devine, Noel";"RB";"PHI"
"Dixon, Anthony";"RB";"SFO"
"Doucet, Early";"WR";"ARI"
"Douglas, Harry";"WR";"ATL"
"Dray, Jim";"TE";"ARI"
"Driver, Donald";"WR";"GNB"
"Durham, Kris";"WR";"SEA"
"Edwards, Armanti";"WR";"CAR"
"Enderle, Nathan";"QB";"CHI"
"Ervin, Allen";"RB";"PHI"
"Evans, Jonathan";"RB";"WAS"
"Feeley, A.J.";"QB";"STL"
"Feely, Jay";"K";"ARI"
"Fiammetta, Tony";"RB";"DAL"
"Finley, Jay";"RB";"SEA"
"Finley, Jermichael";"TE";"GNB"
"Fitzgerald, Larry";"WR";"ARI"
"Flynn, Matt";"QB";"GNB"
"Forbath, Kai";"K";"DAL"
"Forsett, Justin";"RB";"SEA"
"Forte, Matt";"RB";"CHI"
"Franklin, Collin";"TE";"TAM"
"Freeman, Josh";"QB";"TAM"
"Gaffney, Jabar";"WR";"WAS"
"Gallarda, Tommy";"TE";"ATL"
"Gano, Graham";"K";"WAS"
"Gant, Ed";"WR";"TAM"
"Gerhart, Toby";"RB";"MIN"
"Gettis, David";"WR";"CAR"
"Gibson, Brandon";"WR";"STL"
"Gilmore, John";"TE";"NOR"
"Ginn, Ted";"WR";"SFO"
"Gonzalez, Tony";"TE";"ATL"
"Goodson, Mike";"RB";"CAR"
"Gore, Frank";"RB";"SFO"
"Gould, Robbie";"K";"CHI"
"Graham, Earnest";"RB";"TAM"
"Graham, Jimmy";"TE";"NOR"
"Grant, Bakari";"WR";"SFO"
"Grant, Ryan";"RB";"GNB"
"Green, Alex";"RB";"GNB"
"Greisen, Chris";"QB";"DAL"
"Grossman, Rex";"QB";"WAS"
"Guidugli, Ben";"TE";"STL"
"Gurley, Tori";"WR";"GNB"
"Gutierrez, Matt";"QB";"STL"
"Haggerty, Johnathan";"WR";"CHI"
"Hall, Chad";"WR";"PHI"
"Hall, Korey";"RB";"NOR"
"Hall, Max";"QB";"ARI"
"Hall, Roy";"WR";"DET"
"Hamler, Jamel";"WR";"PHI"
"Hanie, Caleb";"QB";"CHI"
"Hankerson, Leonard";"WR";"WAS"
"Hanson, Jason";"K";"DET"
"Harbor, Clay";"TE";"PHI"
"Hardy, Daniel";"TE";"NOR"
"Harrell, Graham";"QB";"GNB"
"Harris, Dwayne";"WR";"DAL"
"Harris, Marcus";"WR";"DET"
"Harrison, Jerome";"RB";"DET"
"Hartley, Garrett";"K";"NOR"
"Hartsock, Ben";"TE";"CAR"
"Harvin, Percy";"WR";"MIN"
"Hastings, Joe";"WR";"SFO"
"Hauschka, Steven";"K";"SEA"
"Havili, Stanley";"RB";"PHI"
"Heap, Todd";"TE";"ARI"
"Heller, Will";"TE";"DET"
"Helu, Roy";"RB";"WAS"
"Henderson, Devery";"WR";"NOR"
"Henery, Alex";"K";"PHI"
"Hester, Devin";"WR";"CHI"
"Higgins, Mike";"TE";"NOR"
